    616.018000 #33571    cpu0 RAD.WR   addr=0x000e val=0x0003
    616.018000 #33572    cpu0 PHY.RD   addr=0x0013 val=0x00000064
    616.018000 #33574    cpu0 PHY.RD   addr=0x0013 val=0x00000064
    616.018000 #33576    cpu0 PHY.RD   addr=0x0013 val=0x00000064
    616.018000 #33578    cpu0 PHY.RD   addr=0x0013 val=0x0000005c
    616.018000 #33580    cpu0 PHY.RD   addr=0x0013 val=0x00000060
    616.018000 #33582    cpu0 PHY.RD   addr=0x0013 val=0x00000064
    616.018000 #33584    cpu0 PHY.RD   addr=0x0013 val=0x00000060
    616.018000 #33586    cpu0 PHY.RD   addr=0x0013 val=0x00000064
    616.018000 #33588    cpu0 RAD.MOD  addr=0x016e val=0x0002 mask=0x0002
    616.018000 #33589    cpu0 RAD.RD   addr=0x016e val=0x00000003
    616.018000 #33591    cpu0 RAD.WR   addr=0x016e val=0x0003
    616.018000 #33592    cpu0 RAD.MOD  addr=0x000e val=0x0000 mask=0x0002
    616.018000 #33593    cpu0 RAD.RD   addr=0x000e val=0x00000003
    616.018000 #33595    cpu0 RAD.WR   addr=0x000e val=0x0001
    616.018000 #33596    cpu0 RAD.MOD  addr=0x016e val=0x0001 mask=0x0001
    616.018000 #33597    cpu0 RAD.RD   addr=0x016e val=0x00000003
    616.018000 #33599    cpu0 RAD.WR   addr=0x016e val=0x0003
    616.018000 #33600    cpu0 RAD.MOD  addr=0x000e val=0x0000 mask=0x0004
    616.018000 #33601    cpu0 RAD.RD   addr=0x000e val=0x00000001
    616.018000 #33603    cpu0 RAD.WR   addr=0x000e val=0x0001
    616.018000 #33604    cpu0 PHY.RD   addr=0x0013 val=0x00000c38
    616.018000 #33606    cpu0 PHY.RD   addr=0x0013 val=0x00000c40
    616.018000 #33608    cpu0 PHY.RD   addr=0x0013 val=0x00000c40
    616.018000 #33610    cpu0 PHY.RD   addr=0x0013 val=0x00000c44
    616.018000 #33612    cpu0 PHY.RD   addr=0x0013 val=0x00000c3c
    616.018000 #33614    cpu0 PHY.RD   addr=0x0013 val=0x00000c3c
    616.018000 #33616    cpu0 PHY.RD   addr=0x0013 val=0x00000c40
    616.018000 #33618    cpu0 PHY.RD   addr=0x0013 val=0x00000c3c
    616.018000 #33620    cpu0 RAD.MOD  addr=0x016e val=0x0002 mask=0x0002
    616.018000 #33621    cpu0 RAD.RD   addr=0x016e val=0x00000003
    616.018000 #33623    cpu0 RAD.WR   addr=0x016e val=0x0003
    616.018000 #33624    cpu0 RAD.MOD  addr=0x000e val=0x0002 mask=0x0002
    616.018000 #33625    cpu0 RAD.RD   addr=0x000e val=0x00000001
    616.018000 #33627    cpu0 RAD.WR   addr=0x000e val=0x0003
    616.018000 #33628    cpu0 RAD.MOD  addr=0x016e val=0x0001 mask=0x0001
    616.018000 #33629    cpu0 RAD.RD   addr=0x016e val=0x00000003
    616.018000 #33631    cpu0 RAD.WR   addr=0x016e val=0x0003
    616.018000 #33632    cpu0 RAD.MOD  addr=0x000e val=0x0004 mask=0x0004
    616.018000 #33633    cpu0 RAD.RD   addr=0x000e val=0x00000003
    616.018000 #33635    cpu0 RAD.WR   addr=0x000e val=0x0007
    616.018000 #33636    cpu0 PHY.RD   addr=0x0013 val=0x00000064
    616.018000 #33638    cpu0 PHY.RD   addr=0x0013 val=0x00000060
    616.018000 #33640    cpu0 PHY.RD   addr=0x0013 val=0x00000060
    616.018000 #33642    cpu0 PHY.RD   addr=0x0013 val=0x00000060
    616.018000 #33644    cpu0 PHY.RD   addr=0x0013 val=0x0000005c
    616.018000 #33646    cpu0 PHY.RD   addr=0x0013 val=0x00000060
    616.018000 #33648    cpu0 PHY.RD   addr=0x0013 val=0x0000005c
